,date,year,stage,home_team,away_team,home_score,away_score,outcome,winner,decided_by_shootout,is_host_match,neutral,city,country,home_team_rank,away_team_rank
206,2006-06-18,2006,group,Brazil,Australia,2,0,home_win,Brazil,False,False,True,Munich,Germany,1,42
207,2006-06-18,2006,group,France,South Korea,1,1,draw,,False,False,True,Leipzig,Germany,8,29
208,2006-06-18,2006,group,Japan,Croatia,0,0,draw,,False,False,True,Nuremberg,Germany,18,23
209,2006-06-19,2006,group,Saudi Arabia,Ukraine,0,4,away_win,Ukraine,False,False,True,Hamburg,Germany,34,45
210,2006-06-19,2006,group,Spain,Tunisia,3,1,home_win,Spain,False,False,True,Stuttgart,Germany,5,21
211,2006-06-19,2006,group,Togo,Switzerland,0,2,away_win,Switzerland,False,False,True,Dortmund,Germany,61,35
212,2006-06-20,2006,group,Costa Rica,Poland,1,2,away_win,Poland,False,False,True,Hanover,Germany,26,29
213,2006-06-20,2006,group,Germany,Ecuador,3,0,home_win,Germany,False,True,False,Berlin,Germany,19,39
214,2006-06-20,2006,group,Paraguay,Trinidad and Tobago,2,0,home_win,Paraguay,False,False,True,Kaiserslautern,Germany,33,47
215,2006-06-20,2006,group,Sweden,England,2,2,draw,,False,False,True,Cologne,Germany,16,10
216,2006-06-21,2006,group,Iran,Angola,1,1,draw,,False,False,True,Leipzig,Germany,23,57
217,2006-06-21,2006,group,Ivory Coast,Serbia,3,2,home_win,Ivory Coast,False,False,True,Munich,Germany,32,44
218,2006-06-21,2006,group,Netherlands,Argentina,0,0,draw,,False,False,True,Frankfurt,Germany,3,9
219,2006-06-21,2006,group,Portugal,Mexico,2,1,home_win,Portugal,False,False,True,Gelsenkirchen,Germany,7,4
220,2006-06-22,2006,group,Croatia,Australia,2,2,draw,,False,False,True,Stuttgart,Germany,23,42
221,2006-06-22,2006,group,Czech Republic,Italy,0,2,away_win,Italy,False,False,True,Hamburg,Germany,2,13
222,2006-06-22,2006,group,Ghana,United States,2,1,home_win,Ghana,False,False,True,Nuremberg,Germany,48,5
223,2006-06-22,2006,group,Japan,Brazil,1,4,away_win,Brazil,False,False,True,Dortmund,Germany,18,1
224,2006-06-23,2006,group,Saudi Arabia,Spain,0,1,away_win,Spain,False,False,True,Kaiserslautern,Germany,34,5
225,2006-06-23,2006,group,Switzerland,South Korea,2,0,home_win,Switzerland,False,False,True,Hanover,Germany,35,29
226,2006-06-23,2006,group,Togo,France,0,2,away_win,France,False,False,True,Cologne,Germany,61,8
227,2006-06-23,2006,group,Ukraine,Tunisia,1,0,home_win,Ukraine,False,False,True,Berlin,Germany,45,21
228,2006-06-24,2006,knockout,Argentina,Mexico,2,1,home_win,Argentina,False,False,True,Leipzig,Germany,9,4
229,2006-06-24,2006,knockout,Germany,Sweden,2,0,home_win,Germany,False,True,False,Munich,Germany,19,16
230,2006-06-25,2006,knockout,England,Ecuador,1,0,home_win,England,False,False,True,Stuttgart,Germany,10,39
231,2006-06-25,2006,knockout,Portugal,Netherlands,1,0,home_win,Portugal,False,False,True,Nuremberg,Germany,7,3
232,2006-06-26,2006,knockout,Italy,Australia,1,0,home_win,Italy,False,False,True,Kaiserslautern,Germany,13,42
233,2006-06-26,2006,knockout,Switzerland,Ukraine,0,0,draw,Ukraine,True,False,True,Cologne,Germany,35,45
234,2006-06-27,2006,knockout,Brazil,Ghana,3,0,home_win,Brazil,False,False,True,Dortmund,Germany,1,48
235,2006-06-27,2006,knockout,Spain,France,1,3,away_win,France,False,False,True,Hanover,Germany,5,8
236,2006-06-30,2006,knockout,Germany,Argentina,1,1,draw,Germany,True,True,False,Berlin,Germany,19,9
237,2006-06-30,2006,knockout,Italy,Ukraine,3,0,home_win,Italy,False,False,True,Hamburg,Germany,13,45
238,2006-07-01,2006,knockout,Brazil,France,0,1,away_win,France,False,False,True,Frankfurt,Germany,1,8
239,2006-07-01,2006,knockout,England,Portugal,0,0,draw,Portugal,True,False,True,Gelsenkirchen,Germany,10,7
240,2006-07-04,2006,knockout,Germany,Italy,0,2,away_win,Italy,False,True,False,Dortmund,Germany,19,13
241,2006-07-05,2006,knockout,Portugal,France,0,1,away_win,France,False,False,True,Munich,Germany,7,8
242,2006-07-08,2006,knockout,Germany,Portugal,3,1,home_win,Germany,False,True,False,Stuttgart,Germany,19,7
243,2006-07-09,2006,knockout,Italy,France,1,1,draw,Italy,True,False,True,Berlin,Germany,13,8
244,2010-06-11,2010,group,South Africa,Mexico,1,1,draw,,False,True,False,Johannesburg,South Africa,83,17
245,2010-06-11,2010,group,Uruguay,France,0,0,draw,,False,False,True,Cape Town,South Africa,16,9
246,2010-06-12,2010,group,Argentina,Nigeria,1,0,home_win,Argentina,False,False,True,Johannesburg,South Africa,7,21
247,2010-06-12,2010,group,England,United States,1,1,draw,,False,False,True,Rustenburg,South Africa,8,14
248,2010-06-12,2010,group,South Korea,Greece,2,0,home_win,South Korea,False,False,True,Port Elizabeth,South Africa,47,13
249,2010-06-13,2010,group,Algeria,Slovenia,0,1,away_win,Slovenia,False,False,True,Polokwane,South Africa,30,25
250,2010-06-13,2010,group,Germany,Australia,4,0,home_win,Germany,False,False,True,Durban,South Africa,6,20
251,2010-06-13,2010,group,Serbia,Ghana,0,1,away_win,Ghana,False,False,True,Pretoria,South Africa,15,32
252,2010-06-14,2010,group,Italy,Paraguay,1,1,draw,,False,False,True,Cape Town,South Africa,5,31
253,2010-06-14,2010,group,Japan,Cameroon,1,0,home_win,Japan,False,False,True,Bloemfontein,South Africa,45,19
254,2010-06-14,2010,group,Netherlands,Denmark,2,0,home_win,Netherlands,False,False,True,Johannesburg,South Africa,4,36
255,2010-06-15,2010,group,Brazil,North Korea,2,1,home_win,Brazil,False,False,True,Johannesburg,South Africa,1,105
256,2010-06-15,2010,group,Ivory Coast,Portugal,0,0,draw,,False,False,True,Port Elizabeth,South Africa,27,3
257,2010-06-15,2010,group,New Zealand,Slovakia,1,1,draw,,False,False,True,Rustenburg,South Africa,78,34
258,2010-06-16,2010,group,Honduras,Chile,0,1,away_win,Chile,False,False,True,Nelspruit,South Africa,38,18
259,2010-06-16,2010,group,South Africa,Uruguay,0,3,away_win,Uruguay,False,True,False,Pretoria,South Africa,83,16
260,2010-06-16,2010,group,Spain,Switzerland,0,1,away_win,Switzerland,False,False,True,Durban,South Africa,2,24
261,2010-06-17,2010,group,Argentina,South Korea,4,1,home_win,Argentina,False,False,True,Johannesburg,South Africa,7,47
262,2010-06-17,2010,group,France,Mexico,0,2,away_win,Mexico,False,False,True,Polokwane,South Africa,9,17
263,2010-06-17,2010,group,Greece,Nigeria,2,1,home_win,Greece,False,False,True,Bloemfontein,South Africa,13,21
264,2010-06-18,2010,group,England,Algeria,0,0,draw,,False,False,True,Cape Town,South Africa,8,30
265,2010-06-18,2010,group,Germany,Serbia,0,1,away_win,Serbia,False,False,True,Port Elizabeth,South Africa,6,15
266,2010-06-18,2010,group,Slovenia,United States,2,2,draw,,False,False,True,Johannesburg,South Africa,25,14
267,2010-06-19,2010,group,Cameroon,Denmark,1,2,away_win,Denmark,False,False,True,Pretoria,South Africa,19,36
268,2010-06-19,2010,group,Ghana,Australia,1,1,draw,,False,False,True,Rustenburg,South Africa,32,20
